title,text,rating
trải nghiệm đáng nhớ tại era restaurant,không gian đẹp rộng rãi nhân viên thân thiện nhiệt tình đồ ăn rất ngon dịch vụ ok recommend mọi người đến ăn nhaaa💗🫰💖,3
Đồ ăn siêu ngon..Nhân viên nhiệt tình dễ thương lắm..Mình ăn lasage và pasta pesto món nào cũng hợp khẩu vị & ngon nha.k,Đồ ăn siêu ngon..Nhân viên nhiệt tình dễ thương lắm..Mình ăn lasage và pasta pesto món nào cũng hợp khẩu vị & ngon nha.không gian đẹp mát lắm,3
"Màu trắng dễ lộ nội y, cân nhắc khi mua","Lưu ý cho những ai muốn đặt màu trắng (như mình) là màu này nó hơi nhạy cảm một chút, ra sáng thì sẽ bị lộ nội y nên cần lựa áo trong cẩn thận hoặc dùng làm áo lót mặc ở giữa thì phù hợp hơn :))).",2
Birhday with my husband 😍,"Sinh nhật tuyệt vời của chúng tôi trên sky bar. Đồ uống , dịch vụ 100d. View ở đây quá đỉnh ,cảm ơn Nhi đã tư vấn đồ cho chung tôi nếu nên vào buổi chiêut chúng tôi sẽ được ngắm hoàng hôn nữa. Lần sau tôi sẽ ghé qua vào buổi chiều để ngắm hoàng hôn. Địa điểm tuyệt vởi nên trải nghiệm",3
Nice!!,"Hội An không vội được đâu ^^. Thật sự đi mòn dép ở Hội An mà vẫn chưa đi hết tất cả các ngỏ ngách. Hội An về đêm rất thơ mộng, mình thích đi dạo các phố với ngắm lồng đèn
Nói chung là mình thích đến Hội An mỗi khi rằm để thả đèn hoa đăng <3",3
Rất tuyệt,Khu phố đông đúc chật chội. Tuy nhiên hàng quán rất nhiều. Có thể tìm thấy món ăn ưa thích. Giá cả hợp lý. Rất tuyệt vời,3
Áo giặt bị phai màu,Có cái áo giặt bị ra màu.😥😥,1
Lunch at Libai,"Thức ăn ngon, nhân viên phục vụ nhiệt tình. Đặc biệt nhân viên tên Khang phục vu tại nhà hàng LiBai rất dễ thương.",3
Hơi lo về chất lượng,"Có điều đợt này mua hàng ngày sản xuất từ 12/2017, tức là đã gần 2 năm kể từ ngày sản xuất, có thể vì vậy mà được giảm giá",2
Áo không thoải mái khi mặc,Vải quá cứng 😣.,2
"Hoa quả úng, ngọt lừ, không đáng tiền","Nhìn chung mình thấy nhiều hơn bên Lệnh Cư cũng tẹo tẹo nhưng giá lại gấp đôi 💵 mà hoa quả cũng chỉ có thế 🍉, sương sương vài loại cơ bản: dưa bở 🍈, dưa hấu 🍉, xoài 🥭, mít 🥭, thêm dăm ba miếng nhãn hoặc dâu linh tinh 🍓...Nhưng với mình thì khó mà chấp nhận cái giá đó được 🤷‍♂️, nếu tiện qua phố cổ thì cũng bấm bụng thôi 😬. Mình ghé cũng khoảng 2,3 lần nhưng lần nào cũng có miếng ăn bị úng, không được tươi 🍽️. Hoa quả không đa dạng theo mùa lại không ngọt, ăn chỉ kiểu no bụng 🍽️. Sữa đặc với cốt dừa lại chế khá nhiều vào nên bị béo quá 🥥. Về cơ bản mọi người du lịch rút kinh nghiệm khi đi ăn, không phải đồ gì ở phố cổ cũng xịn xò nhé 😕. M thấy hàng này mọi người từng bảo phải chạy xô chỗ bán nhiều lần rồi, nhưng khi ăn quán auth thì m thấy nhà bán hqd fake ở đoạn ngõ hàng chỉ còn ngon hơn mà ngọt mát hơn ấy, haizz không hiểu nổi 🤔. Được cái cô bán hàng xởi lởi, mến khách 😊, không khí ấm cúng 🔥. Giá mặt bằng đắt thì cũng đắt chung nhưng cô hãy để ý lại vì phong độ đi xuống rồi 😔.",1
Thất vọng với dịch vụ và món ăn mặn,"Nhân viên phục vụ không chuyên nghiệp 👎
Đồ ăn mặn ",1
Đi rồi mới biết được thêm 1 số kiến thức,"Kiến trúc hiện đại, có nhiều chỗ để khám phá, Đi với gia đình, bố cũng lớn tuổi nên biết nhiều về lịch sử nên vừa đi vừa được nghe thuyết minh các hiện vật. Nhân viên thoải mái, đi hết các phòng cũng khá mỏi.",2
Lăng Bác,"Nên tìm hiểu trước giờ mở cửa Lăng để tránh bỏ lỡ cơ hội tham quan bên trong khi đến với nơi đây, một tuần sẽ có một ngày không làm việc. Vào khoảng sau 18h00 có thể tham dự lễ thượng cờ cũng rất thú vị.",3
rất là đẹp,"phố cổ rất là đẹp và thơ mộng, có rất nhiều ngôi nhà cổ và lồng đèn, đặc biệt là buổi tối, phố cổ thật là lung linh.",3
Không thể mặc được,Quả thực mặc không được 😞.,1
Chất không đanh,Chất dão không đanh 😔.,2
quảng cáo hết mình nhận hàng hết hồn,Hình ảnh quảng cáo là cơm rang bò dưa. Nhưng ship đến lại là cơm như thế này,1
"Đóng gói sơ sài, thùng rách, mất sản phẩm","Đóng gói sơ sài, không cẩn thận, thùng bị rách tùm lum, bị bể mất 2 bịch, pha hạt é hơi nhiều 😥😥.",1
"Chất lượng kém, mút áo bị móp","Chất lượng sản phẩm kém 😞, miếng mút bên trong áo móp méo không tròn quả dù đã cố gắng chỉnh cho vào nếp 🧥.",1
Lunch together,"Thực đơn phong phú, món ăn rất hợp khẩu vị. Nhân viên phục vụ chu đáo.
Đồ chay ở đây cũng rất ngon, sẽ quay lại thường xuyên.",3
một ngày mưa gió tại Era,Một ngày mưa gió mà quán vẫn đông. may là vẫn có bàn. quán nổi tiếng về món thịt nướng tươi ngon. mình gọi set hai người mà khá đầy đặn. giá cũng hợp lí nữa. mình thích và sẽ quay lại,3
Món ăn Việt,"Đây không phải lần đầu, mà là rất nhiều lần tôi đến đây để thưởng thức món ăn đậm đà hương vị Việt. Thật tuyệt vời trong một không gian ấm cúng đúng chất chợ quê Việt Nam những năm 1980-1990 với các gian hàng đầy đủ món ăn 3 miền hội tụ. Món yêu thích nhất tôi thường gọi là bánh hỏi nem nướng, bánh xèo nam bộ và mực một nắng chiên giòn. Bất cứ khi nào có bạn người nước ngoài đến du lịch Việt Nam, tôi đều đưa họ đến đây để khám phá món ăn và không gian Việt giữa lòng thủ đô.",3
Chất lượng kém,"Tôi có dùng Buffet sủi cảo trưa thứ 2 ngày 24 tháng 1 năm 2021 tại nhà hàng Hoa.Chất lượng đồ ăn tồi tệ. Nước súp cho món Wonton lạt lẽo như nước ốc . Không hiểu đầu bếp hầm xương kiểu gì nữa. Dim sum chế biến dỡ.Khách sạn cần xem lại trình độ của Bếp trưởng nhà hàng . Nhân viên phục vụ không chuyên nghiệp. Bưng đồ ăn lên mà không giới thiệu món gì. Có nhiều món đem ra quá lâu mà cũng không thông báo khách. Bắt khách ngồi đợi. Khi ăn xong cũng không đem tăm lên và cũng không dọn dẹp bàn lại sạch sẽ cho khách. 
 Sẽ không quay lại nhà hàng.",1
"xôi gà nấm thiếu topping, nhiều mỡ gà",Gọi ship qua now xôi gà nấm về không có miếng nấm nào. 90% là mỡ gà lèo tèo 1-2 miếng gà. Ngần này mỡ gà trong bát xôi thì thử hỏi còn bao nhiêu topping. không thể chấp nhận được,1
"Đặt 2 phần gà, mỗi phần 6 miếng",Mình đặt 2 phần mỗi phần 6 miếng mà nhận được có 6 miếng gà,1
Du lịch nghỉ dưỡng,"Trùng tu di tích còn chậm, được thêm phần trang trí đèn mở tour khám phá về đêm từ 19-22 h rất hay đi dạo mát hơn ban ngày mà được xem không gian huyền ảo về đêm ",2
Vải hơi cứng,"vải hơi cứng không biết giặt có mềm không nhưng nói chung là ok, nên tăng size nhé mọi người không sẽ bị kích đũng đấy. cao >1m62 thì mặc sẽ bị ngắn.",2
Bua sang tuyet voi,"Chung toi da dung bua sang o day.bua sang thuc su rat ngon co cafe ,banh.khong gian quan kha dep va yen tinh .ban Diem phuc vu rat nhiet tinh va than thien.",3
So cool,Noi ly tuong De nham nhi vai ly bia VA tam chuyen cung dam ban. Am nhac tuyet voi bn ban Cong Lang man.👌,3
Viếng Lăng Bác,"Trang trọng , ngưỡng mộ toàn thể những người giữ yên giấc ngủ của Bác. Các con miền nam đã được một lần gặp Bác",3
Hà Nội Yêu,phố đi bộ thật tuyệt vời bạn có thể thưởng thức đồ ăn tại các phố như Tạ Hiện và nhiều phố khác . tôi sẽ quay lại hà nội nhiều lần hơn,3
Rất thú vị!,"Trong một chuyến đi công tác dài ngày ở Hà Nội, tôi và các đồng nghiệp đã khám Phố cổ Hà Nội vào ngày cuối tuần. Quả thật là thú vị hơn bao giờ hết, phố phường sầm uất và tấp nập vào cuối tuân. Người dân ở Hà Nội rất thân thiện. Phố đi bộ đc tổ chức vào cuối tuần, trong khu phố này rất nhiều nhà hàng quán ăn vỉa hè các bạn có thể tha hồ kham phá nơi này",3
Tuyệt,"Mình tổ chức sinh nhật ở đây , không gian đẹp , đồ ăn cũng như đồ uống rất ngon. Nhân viên nhiệt tình. Sẽ giới thiệu nhiều bạn bè tới đây để trải nghiệm",3
Trong xanh,"Cù lao chàm là hòn đảo nhỏ xinh ở hội an và phải nói điều đặc biệt nhất ở đây với mình là sự thân thiện của người dân và đảo siêu sạch, ý thức của người dân cực kỳ tốt!!! Đảo đẹp tuy hơi ít chỗ tham quan nhưng thật sự là rất đáng để đi, đặc biệt buổi tối yên bình làm mình không nỡ rời đi! Thích vô cùng",3
Điểm tập kết,"Lâu lâu mới có dịp qua đây. Điểm tổ chức các sự kiện lớn của thành phố. Cũng là nơi tụ tập bạn bè. Kiến trúc đẹp, tiện đường đi lại.",3
Không có gì nổi bật,"Vé vào cửa tháng 9/2015 là 100k/pax cho tất cả các trò chơi 🎡. Chỉ có các khu nhà xây theo phong cách Trung Hoa và Nhật Bản là đáng để chụp hình 📸, còn ngoài ra không có gì đặc biệt 😕. Thật ra, mình đến đây chủ yếu là đi vòng quay Sun Wheel 🎡, mình đến vào lúc gần 10h đêm 🌙 nhưng nhân viên vẫn không tư vấn là anh nên quay lại hôm sau vì khu vui chơi sắp đóng cửa ⏰. Vòng quay không có gì đặc biệt, đi buổi tối chỉ thấy đèn 💡, mình nghĩ nên đi ban ngày sẽ ngắm cảnh đẹp hơn 🌞. Đường đi đến vòng quay thì xa, phải đi bộ 🚶‍♂️, bắt khách tham quan phải đi 1 vòng thật là rộng, thiếu bảng chỉ dẫn 🚫, lối ra thì bắt khách tham quan phải đi vòng vo qua quầy hàng lưu niệm rất bực mình 😠. Thiếu cây xanh 🌳, ban ngày mình nghĩ chắc nắng kinh khủng 🌞. Còn đang xây dựng dở dang 🏗️. Các trò chơi thì chỉ phù hợp cho con nít 👶. 100k là không xứng đáng cho khu vui chơi này 💸.",1
"Không gian rộng, văn minh, nên đưa khách nước ngoài hoặc bạn bè đến thăm","""Mình đến đây vào một sáng chủ nhật 🌞, lúc đầu không thích đi bảo tàng lắm vì nghĩ nó rất boring 😴 nhưng khi vào đến bên trong thì những cảm giác về một bảo tàng buồn tẻ mà mình đã nghĩ đều không còn. Bảo tàng dân tộc học có một không gian rất rộng 🌳, nhiều cây xanh 🌲, nhiều khu nhà của các dân tộc Việt Nam 🏠. Thích nhất là cái nhà rông 🏠. Thích nữa là mấy cái tượng gỗ 🪵, cả cái cầu thang, rất ấn tượng 🏛️.",3
"Bánh mì ỉu, trà sữa lạ vị","""Mình order khá nhiều lần ở đây nhưng đây là lần đầu tiên thất vọng như thế này 😞. Mình order bánh mỳ bơ sữa cùng trà sữa ô long để ăn sáng 🥐. Bánh lần này ỉu, quá ỉu chứ không như mọi lần được nướng giòn 🍞. Trà sữa vị cũng hơi lạ lạ, không hẳn là không ngon nhưng vị không giống những lần trước đây mình uống 🥤.""",1
Nơi tham quan tuyệt vời,"Đây là nơi tham quan tuyệt vời 🏞️, có động âm phủ 👻, có chùa linh ứng 🛕, có nhiều quà lưu niệm đá rất đẹp 💎, giá cả hợp lý 💸.",3
Lừa đảo,Treo đầu dê bán thịt chó.😠😠😠,1
"Giao thiếu Coca, chỉ phát hiện khi mở đồ ra ăn",Đơn có Coca nhưng giao thiếu 🥤. Bạn tôi xuống nhận hộ nên không biết là thiếu 🚶‍♂️. Đến khi bỏ đồ ra ăn mới biết 😔.,1
Nhân viên lễ tân mặt luôn kênh kênh,Mọi thứ đều tốt trừ di chuyển xa,2
Mango mousse,"Bánh mousse xoài thật ngon. Vị xoài khá đặc biệt, có rất nhiều bánh : mousse dừa, trà xanh, chocolate...Đồ uống có khá nhiều lựa chọn. Nhân viên thân thiện, nhiệt tình. Tôi sẽ comeback",3
"Màu chuẩn nhưng son lỏng, lộ vân môi","Màu chuẩn nhưng chất son lỏng gây lộ vân môi, mùi hương thơm nhẹ.",2
Tuyệt vời,"Phố cổ Hội An mang trong mình một nét cổ kính, và về đêm ở đây rất nhộn nhịp và đông đảo du khách trong và ngoài nước, còn người nơi đây rất hài hoà và thân thiện.",3
Takeaway tuyệt vời,Mình đến nhà hàng nhiều lần ăn vì thích không gian quán! Nay quán mở thêm takeaway với món kem homemade rất nhiều vị và ngon nhất là chanh dây!  Còn có món smoothie xoài siêu ngon với decor ly mang đi rất đáng yêu! Lần này mua mang đi mình rất hài lòng,3
Chất vải tốt nhưng cổ áo xấu,"Chất vải đẹp, nhưng phần cổ hơi xấu.",2
Sản phẩm đạt yêu cầu cơ bản và dịch vụ tốt,Sẽ ủng hộ shop tiếp.,2
Sản phẩm không đúng như đăng bán,Không đúng sản phẩm đăng bán !!!,1
Thời tiết!!!,"Bà nà hill thì ai đi Đà Nẵng cũng phải đến 1 lần rồi , phong cảnh đẹp , thời tiết 4 mùa trong một ngày , đi cáp treo rộng rãi được 6 người . Cảnh đẹp như pháp vậy ! Có trò trượt máng xếp hành dài dài để đi nhưng đi rồi thì quá là phiêuuu! Ở đây cũng có nhà hàng buffet cho những bạn không mang đồ ăn trưa hehe",3
